"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Necroptosis_BRCA_Prognosis_37787960","Necroptosis_BRCA_Prognosis_37787960","10/100","159/14739",0.0628930817610063,9.26981132075472,8.66520759947251,1.2096731338578e-07,5.64514129133642e-07,1.87969258895198e-07,"CYBB/VDAC2/ALOX15/BID/MAPK8/MAPK9/IFNG/HMGB1/TNFAIP3/TLR4",10
"NETosis_Pan Cancer_37408763","NETosis_Pan Cancer_37408763","7/100","69/14739",0.101449275362319,14.9526086956522,9.60126537668468,4.09327443810044e-07,1.82336770424474e-06,6.07136399909634e-07,"CYBB/PIK3CA/ATG7/MAPK3/MAPK1/HMGB1/TLR4",7
"Immunogenic Cell Death_Pan Cancer_27057433","Immunogenic Cell Death_Pan Cancer_27057433","5/100","33/14739",0.151515151515152,22.3318181818182,10.1391403135636,2.65335584200982e-06,1.13056031529114e-05,3.76448654930455e-06,"PIK3CA/ATG5/IFNG/HMGB1/TLR4",5
"Immunogenic Cell Death_HCC_38681068","Immunogenic Cell Death_HCC_38681068","5/100","35/14739",0.142857142857143,21.0557142857143,9.81788588419821,3.59051623997561e-06,1.46612746465671e-05,4.88184225610719e-06,"PIK3CA/TP53/ATG5/HMGB1/TLR4",5
"Ferroptosis_CCA_Prognosis_36733386","Ferroptosis_CCA_Prognosis_36733386","4/100","17/14739",0.235294117647059,34.68,11.4835643271917,4.4364965570144e-06,1.73910665034965e-05,5.79079550599775e-06,"SLC1A5/GOT1/ACO1/PEBP1",4
"Necroptosis_AML_37993258","Necroptosis_AML_37993258","6/100","65/14739",0.0923076923076923,13.6052307692308,8.41776490756677,5.01141195009662e-06,1.8889168119595e-05,6.28962633412936e-06,"FLT3/EGFR/CDKN2A/MAPK8/IDH1/SIRT1",6
"paraptosis-like death_GeneCards","paraptosis-like death_GeneCards","3/100","6/14739",0.5,73.695,14.7196723278333,5.9721303578621e-06,2.09613661713842e-05,6.97961709251246e-06,"TP53/MAPK8/MAPK14",3
"Necroptosis_Pan Cancer_36044785","Necroptosis_Pan Cancer_36044785","6/100","67/14739",0.0895522388059701,13.1991044776119,8.27149980168956,5.98896176325263e-06,2.09613661713842e-05,6.97961709251246e-06,"FLT3/EGFR/CDKN2A/MAPK8/IDH1/SIRT1",6
"Apoptosis_Pan Cancer_37968457","Apoptosis_Pan Cancer_37968457","8/100","146/14739",0.0547945205479452,8.07616438356164,7.10175393587862,6.5995740435834e-06,2.2302008836937e-05,7.42601798007569e-06,"TP53/BECN1/EGFR/MAPK1/MAPK8/MAPK14/MIOX/SIRT1",8
"Ferroptosis_IDD_Down_36814575","Ferroptosis_IDD_Down_36814575","4/100","20/14739",0.2,29.478,10.5329228118984,8.89127689970474e-06,2.90448378723688e-05,9.67121346985427e-06,"CS/KEAP1/ULK2/PEBP1",4
"Apoptosis_Pan Cancer_36703967","Apoptosis_Pan Cancer_36703967","10/100","273/14739",0.0366300366300366,5.3989010989011,6.06338104334102,1.61043249936108e-05,5.09104467539955e-05,1.69519210459061e-05,"PIK3CA/TP53/MAPK3/MAPK1/BID/CDKN2A/MAPK8/HMGB1/TLR4/ATM",10
"Ferroptosis_HCC_Prognosis_38139032","Ferroptosis_HCC_Prognosis_38139032","4/100","26/14739",0.153846153846154,22.6753846153846,9.14253095981009,2.6591088319591e-05,8.14352079787475e-05,2.71159124311619e-05,"TF/ALOX15/MAPK1/CDO1",4
"Paraptosis_GeneCards","Paraptosis_GeneCards","4/100","29/14739",0.137931034482759,20.3296551724138,8.61153041629754,4.15905113810915e-05,0.000123511215616575,4.11261835028337e-05,"TP53/MAPK1/MAPK8/MAPK14",4
"Ferroptosis_EGFRWTLUAD_Prognosis_39478024","Ferroptosis_EGFRWTLUAD_Prognosis_39478024","3/100","11/14739",0.272727272727273,40.1972727272727,10.7484013846063,4.80674749925654e-05,0.000138547427919747,4.61328707358987e-05,"NOX4/DUOX1/PEBP1",3
"NETosis_UC_40963602","NETosis_UC_40963602","4/100","33/14739",0.121212121212121,17.8654545454545,8.01625105890612,7.01794507690501e-05,0.00019650246215334,6.54304653786632e-05,"CYBB/MAPK3/MAPK1/TLR4",4
"Necroptosis_COAD_36353119","Necroptosis_COAD_36353119","6/100","105/14739",0.0571428571428571,8.42228571428571,6.3083294049014,7.84929606969092e-05,0.000213675281897142,7.11485901053856e-05,"CYBB/VDAC2/BID/MAPK8/IFNG/HMGB1",6
"Ferroptosis_IDD_36819777","Ferroptosis_IDD_36819777","4/100","40/14739",0.1,14.739,7.19125675441516,0.000151137221774265,0.000400309398212918,0.000133293140113861,"EMC2/CARS1/ATF3/ATM",4
"Apoptosis_Pan cancer_36044785","Apoptosis_Pan cancer_36044785","8/100","228/14739",0.0350877192982456,5.17157894736842,5.24665841407671,0.000158974741067566,0.000409987490121619,0.000136515705625888,"VDAC2/PIK3CA/TP53/HMOX1/SAT1/BID/ATF3/ATM",8
